Date,Open,High,Low,Close,Adj Close,Volume
2017-09-13,74.930000,75.230003,74.550003,75.209999,72.735580,13380800
2017-09-14,75.000000,75.489998,74.519997,74.769997,72.310051,15733900
2017-09-15,74.830002,75.389999,74.070000,75.309998,72.832283,38578400
2017-09-18,75.230003,75.970001,75.040001,75.160004,72.687225,23307000
2017-09-19,75.209999,75.709999,75.010002,75.440002,72.958008,16093300
2017-09-20,75.349998,75.550003,74.309998,74.940002,72.474472,21587900
2017-09-21,75.110001,75.239998,74.110001,74.209999,71.768478,19186100
2017-09-22,73.989998,74.510002,73.849998,74.410004,71.961906,14111400
2017-09-25,74.089996,74.250000,72.919998,73.260002,70.849724,24149200
2017-09-26,73.669998,73.809998,72.989998,73.260002,70.849724,18019600
2017-09-27,73.550003,74.169998,73.169998,73.849998,71.420326,19565100
2017-09-28,73.540001,73.970001,73.309998,73.870003,71.439667,10883800
2017-09-29,73.940002,74.540001,73.879997,74.489998,72.039268,17079100
2017-10-02,74.709999,75.010002,74.300003,74.610001,72.155319,15304800
2017-10-03,74.669998,74.879997,74.190002,74.260002,71.816841,12190400
2017-10-04,74.089996,74.720001,73.709999,74.690002,72.232697,13317700
2017-10-05,75.220001,76.120003,74.959999,75.970001,73.470573,21195300
2017-10-06,75.669998,76.029999,75.540001,76.000000,73.499580,13959800
2017-10-09,75.970001,76.550003,75.860001,76.290001,73.780052,11386500
2017-10-10,76.330002,76.629997,76.139999,76.290001,73.780052,13944500
2017-10-11,76.360001,76.459999,75.949997,76.419998,73.905769,15388900
2017-10-12,76.489998,77.290001,76.370003,77.120003,74.582748,16876500
2017-10-13,77.589996,77.870003,77.290001,77.489998,74.940567,15335700
2017-10-16,77.419998,77.809998,77.349998,77.650002,75.095306,12380100
2017-10-17,77.470001,77.620003,77.250000,77.589996,75.037262,16824000
2017-10-18,77.669998,77.849998,77.370003,77.610001,75.056618,13300700
2017-10-19,77.570000,77.930000,77.349998,77.910004,75.346748,15092800
2017-10-20,78.320000,78.970001,78.220001,78.809998,76.217140,22866400
2017-10-23,78.989998,79.339996,78.760002,78.830002,76.236488,20627200
2017-10-24,78.900002,79.199997,78.459999,78.860001,76.265511,17517200
2017-10-25,78.580002,79.099998,78.010002,78.629997,76.043053,20410800
2017-10-26,79.199997,79.419998,78.750000,78.760002,76.168777,32120700
2017-10-27,84.370003,86.199997,83.610001,83.809998,81.052635,71066700
2017-10-30,83.699997,84.330002,83.110001,83.889999,81.130005,31756700
2017-10-31,84.360001,84.360001,83.110001,83.180000,80.443352,27086600
2017-11-01,83.680000,83.760002,82.879997,83.180000,80.443352,22307400
2017-11-02,83.349998,84.459999,83.120003,84.050003,81.284744,23992900
2017-11-03,84.080002,84.540001,83.400002,84.139999,81.371788,17633500
2017-11-06,84.199997,84.699997,84.080002,84.470001,81.690926,19860900
2017-11-07,84.769997,84.900002,83.930000,84.269997,81.497498,17939700
2017-11-08,84.139999,84.610001,83.830002,84.559998,81.777962,18034200
2017-11-09,84.110001,84.269997,82.900002,84.089996,81.323418,21178400
2017-11-10,83.790001,84.099998,83.230003,83.870003,81.110680,19397800
2017-11-13,83.660004,83.940002,83.459999,83.930000,81.168694,14196900
2017-11-14,83.500000,84.099998,82.980003,84.050003,81.284744,18801300
2017-11-15,83.470001,83.690002,82.690002,82.980003,80.652969,19383100
2017-11-16,83.099998,83.419998,82.940002,83.199997,80.866798,20962800
2017-11-17,83.120003,83.120003,82.239998,82.400002,80.089226,22079000
2017-11-20,82.400002,82.589996,82.250000,82.529999,80.215591,16315000
2017-11-21,82.739998,83.839996,82.739998,83.720001,81.372231,21237500
2017-11-22,83.830002,83.900002,83.040001,83.110001,80.779327,20553100
2017-11-24,83.010002,83.430000,82.779999,83.260002,80.925125,7425600
2017-11-27,83.309998,83.980003,83.300003,83.870003,81.518021,18265200
2017-11-28,84.070000,85.059998,84.019997,84.879997,82.499680,21926000
2017-11-29,84.709999,84.919998,83.180000,83.339996,81.002876,27381100
2017-11-30,83.510002,84.519997,83.339996,84.169998,81.809601,33054600
2017-12-01,83.599998,84.809998,83.220001,84.260002,81.897079,29532100
2017-12-04,84.419998,84.430000,80.699997,81.080002,78.806252,39094900
2017-12-05,81.339996,82.680000,80.980003,81.589996,79.301933,26152300
2017-12-06,81.550003,83.139999,81.430000,82.779999,80.458580,26162100
2017-12-07,82.540001,82.800003,82.000000,82.489998,80.176704,23184500
2017-12-08,83.629997,84.580002,83.330002,84.160004,81.799881,24489100
2017-12-11,84.290001,85.370003,84.120003,85.230003,82.839882,22857900
2017-12-12,85.309998,86.050003,85.080002,85.580002,83.180061,23924100
2017-12-13,85.739998,86.000000,85.169998,85.349998,82.956505,22062700
2017-12-14,85.430000,85.870003,84.529999,84.690002,82.315025,19306000
2017-12-15,85.260002,87.089996,84.879997,86.849998,84.414436,53936700
2017-12-18,87.120003,87.500000,86.230003,86.379997,83.957619,22283800
2017-12-19,86.349998,86.349998,85.269997,85.830002,83.423050,23524800
2017-12-20,86.199997,86.300003,84.709999,85.519997,83.121735,23674900
2017-12-21,86.050003,86.099998,85.400002,85.500000,83.102303,17990700
2017-12-22,85.400002,85.629997,84.919998,85.510002,83.112022,14145800
2017-12-26,85.309998,85.529999,85.029999,85.400002,83.005104,9891200
2017-12-27,85.650002,85.980003,85.220001,85.709999,83.306412,14678000
2017-12-28,85.900002,85.930000,85.550003,85.720001,83.316124,10594300
2017-12-29,85.629997,86.050003,85.500000,85.540001,83.141182,18717400
2018-01-02,86.129997,86.309998,85.500000,85.949997,83.539680,22483800
2018-01-03,86.059998,86.510002,85.970001,86.349998,83.928474,26061400
2018-01-04,86.589996,87.660004,86.570000,87.110001,84.667145,21912000
2018-01-05,87.660004,88.410004,87.430000,88.190002,85.716881,23407100
2018-01-08,88.199997,88.580002,87.599998,88.279999,85.804337,22113000
2018-01-09,88.650002,88.730003,87.860001,88.220001,85.746025,19484300
2018-01-10,87.860001,88.190002,87.410004,87.820000,85.357239,18652200
2018-01-11,88.129997,88.129997,87.239998,88.080002,85.609947,17808900
2018-01-12,88.669998,89.779999,88.449997,89.599998,87.087334,24271500
2018-01-16,90.099998,90.790001,88.010002,88.349998,85.872368,36599700
2018-01-17,89.080002,90.279999,88.750000,90.139999,87.612183,25621200
2018-01-18,89.800003,90.669998,89.660004,90.099998,87.573303,24159700
2018-01-19,90.139999,90.610001,89.660004,90.000000,87.476105,36875000
