datetime, tweet, followers
2019-09-09 09:55:08,"b'PlaceMe is recruiting for a Warehouse Stock Control Administrator\n\nProficient in #warehouse management system, https://t.co/OgSziXVhfl'",302
2019-09-09 09:42:05,"b'\xf0\x9f\xa4\x91 As Dollar Tree (DLTR) Stock Value Declined, Shareholder Schaller Investment Group Has Lifted Stake; Microsoft (MS https://t.co/pmc8MJvZGw'",156
2019-09-09 09:39:01,"b'$MSFT in Uptrend: 50-day Moving Average moved above 200-day Moving Average on March 8, 2019. View odds for this and https://t.co/rKIhS8oknk'",872
2019-09-09 02:29:05,"b""Your 'Diversified' ETF Might Now Be Anything But -- Journal Report #Microsoft #Stock #MarketScreener https://t.co/IpYWkB77vw""",9421
2019-09-08 23:30:59,b'@permabear_uk @petenajarian @formyqt Definitely a market leader and a great long term stock to hold but you are not https://t.co/p8nqFmxeIk',54
2019-09-08 22:40:30,b'RT @GUNNSMOKEz: 10 Days Xbox Games Pass Still in stock:\nONLY  - Instant Delivery\nhttps://t.co/4tCqYEL2CO\n\nPerfect To Test Out #Gears5\n#Xb',25
2019-09-08 20:19:03,b'RT @GUNNSMOKEz: 10 Days Xbox Games Pass Still in stock:\nONLY  - Instant Delivery\nhttps://t.co/4tCqYEL2CO\n\nPerfect To Test Out #Gears5\n#Xb',59
2019-09-08 19:11:02,b'10 Days Xbox Games Pass Still in stock:\nONLY  - Instant Delivery\nhttps://t.co/4tCqYEL2CO\n\nPerfect To Test Out https://t.co/7RtFwoWTve',692
2019-09-08 13:00:07,"b""Overachieving fiscal fourth-quarter earning results are suggesting that Microsoft's stock value only plans to rise. https://t.co/SzjDLfW4zv""",1103
2019-09-08 08:14:43,"b'$MSFT in Uptrend: 50-day Moving Average moved above 200-day Moving Average on March 8, 2019. View odds for this and https://t.co/jKAlEUbTkg'",872
2019-09-07 09:48:02,"b'$MSFT in Uptrend: 50-day Moving Average broke above 200-day Moving Average on March 8, 2019. View odds for this and https://t.co/Nu1gBBmitQ'",872
2019-09-07 06:26:33,b'Pinterest plans.... #android #microsoft #newstechnology HTTP/1.1 200 Connection established HTTP/1.1 200 OK Server: https://t.co/LoJ4rXw3cv',3802
2019-09-06 23:38:40,b'RT @tq_equities: $MSFT breaks below key technical support level: https://t.co/F3WAsjQxCx\nSentiment: Neutral #MSFT #Microsoft',2100
2019-09-06 22:32:08,b'Microsoft : Statement of changes in beneficial ownership of securities #Microsoft #Stock #MarketScreener https://t.co/J1E38BqrWA',9421
2019-09-06 20:25:09,b'$MSFT breaks below key technical support level: https://t.co/F3WAsjQxCx\nSentiment: Neutral #MSFT #Microsoft',216
2019-09-06 10:10:13,"b'$MSFT in Uptrend: 50-day Moving Average moved above 200-day Moving Average on March 8, 2019. View odds for this and https://t.co/F7fTCIwDtD'",872
2019-09-06 06:50:22,b'Microsoft : Slack Intensifies a War of Words #Microsoft #Stock #MarketScreener https://t.co/iPPKFXLtn7 https://t.co/EcI8BNIKJk',9421
2019-09-05 21:24:01,b'$MSFT climbs to highest close since July 30th: https://t.co/ReTGhqF6gB\nSentiment: Bullish #MSFT #Microsoft',216
